"trust_name","trust_code","coefficient"
"Aintree University Hospitals NHS Foundation Trust","REM",-0.276
"Airedale NHS Trust","RCF",-0.2998
"Ashford and St Peter's Hospitals NHS Trust","RTK",-0.1424
"Barking, Havering and Redbridge Hospitals NHS Trust","RF4",-0.1699
"Barnet and Chase Farm Hospitals NHS Trust","RVL",0.137
"Barnsley Hospital NHS Foundation Trust","RFF",-0.2976
"Barts and The London NHS Trust","RNJ",0.1171
"Basildon and Thurrock University Hospitals NHS Foundation Trust","RDD",-0.0762
"Basingstoke and North Hampshire NHS Foundation Trust","RN5",-0.2353
"Bedford Hospital NHS Trust","RC1",-0.3056
"Blackpool, Fylde and Wyre Hospitals NHS Foundation Trust","RXL",-0.1201
"Bradford Teaching Hospitals NHS Foundation Trust","RAE",-0.1872
"Brighton and Sussex University Hospitals NHS Trust","RXH",-0.0043
"Bromley Hospitals NHS Trust","RG3",-0.2153
"Buckinghamshire Hospitals NHS Trust","RXQ",0.0026
"Burton Hospitals NHS Foundation Trust","RJF",-0.1109
"Calderdale and Huddersfield NHS Foundation Trust","RWY",-0.2049
"Cambridge University Hospitals NHS Foundation Trust","RGT",-0.1115
"Central Manchester University Hospitals NHS Foundation Trust","RW3",-0.0782
"Chelsea and Westminster Hospital NHS Foundation Trust","RQM",-0.2388
"Chesterfield Royal Hospital NHS Foundation Trust","RFS",-0.3527
"City Hospitals Sunderland NHS Foundation Trust","RLN",-0.1949
"Colchester Hospital University NHS Foundation Trust","RDE",-0.3485
"Countess of Chester Hospital NHS Foundation Trust","RJR",-0.2975
"County Durham and Darlington NHS Foundation Trust","RXP",-0.0943
"Dartford and Gravesham NHS Trust","RN7",-0.1673
"Derby Hospitals NHS Foundation Trust","RTG",-0.1749
"Doncaster and Bassetlaw Hospitals NHS Foundation Trust","RP5",-0.2514
"Dorset County Hospital NHS Foundation Trust","RBD",-0.1666
"Ealing Hospital NHS Trust","RC3",-0.0314
"East and North Hertfordshire NHS Trust","RWH",-0.236
"East Cheshire NHS Trust","RJN",-0.0539
"East Kent Hospitals University NHS Foundation Trust","RVV",-0.0078
"East Lancashire Hospitals NHS Trust","RXR",-0.3743
"East Sussex Hospitals NHS Trust","RXC",-0.1331
"Epsom and St Helier University Hospitals NHS Trust","RVR",-0.0332
"Frimley Park Hospital NHS Foundation Trust","RDU",-0.1811
"Gateshead Health NHS Foundation Trust","RR7",-0.0421
"George Eliot Hospital NHS Trust","RLT",-0.1241
"Gloucestershire Hospitals NHS Foundation Trust","RTE",-0.2831
"Great Western Hospitals NHS Foundation Trust","RN3",-0.0955
"Guy's and St Thomas' NHS Foundation Trust","RJ1",-0.2393
"Harrogate and District NHS Foundation Trust","RCD",-0.3723
"Heart of England NHS Foundation Trust","RR1",-0.0084
"Heatherwood and Wexham Park Hospitals NHS Foundation Trust","RD7",-0.1483
"Hereford Hospitals NHS Trust","RLQ",-0.2719
"Hinchingbrooke Health Care NHS Trust","RQQ",-0.2993
"Homerton University Hospital NHS Foundation Trust","RQX",-0.1506
"Hull and East Yorkshire Hospitals NHS Trust","RWA",-0.1879
"Imperial College Healthcare NHS Trust","RYJ",-0.1089
"Ipswich Hospital NHS Trust","RGQ",-0.207
"James Paget University Hospitals NHS Foundation Trust","RGP",-0.2747
"Kettering General Hospital NHS Foundation Trust","RNQ",-0.2582
"King's College Hospital NHS Foundation Trust","RJZ",-0.0806
"Kingston Hospital NHS Trust","RAX",-0.1913
"Lancashire Teaching Hospitals NHS Foundation Trust","RXN",-0.1646
"Liverpool Heart and Chest Hospital NHS Trust","RBQ",-0.0228
"Luton and Dunstable Hospital NHS Foundation Trust","RC9",-0.2842
"Maidstone and Tunbridge Wells NHS Trust","RWF",-0.1074
"Mayday Healthcare NHS Trust","RJ6",-0.0229
"Medway NHS Foundation Trust","RPA",-0.0899
"Mid Cheshire Hospitals NHS Foundation Trust","RBT",-0.1522
"Mid Essex Hospital Services NHS Trust","RQ8",-0.0817
"Mid Staffordshire NHS Foundation Trust","RJD",-0.3216
